month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,CTR
April,1,camp 1,High,160 x 600,abc,4,0.006,0,0.0,0,0.0,0.0
April,1,camp 1,High,160 x 600,def,20170,26.7824,158,28.9717,23,1972.4602,0.7833415964303422
April,1,camp 1,High,160 x 600,ghi,14701,27.6304,158,28.9771,78,2497.2636,1.0747568192639956
April,1,camp 1,High,160 x 600,mno,171259,216.875,1796,329.4518,617,24625.3234,1.0487040097162776
April,1,camp 1,Low,160 x 600,def,552,0.067,1,0.1834,0,0.0,0.18115942028985507
April,1,camp 1,Low,160 x 600,ghi,16,0.0249,0,0.0,0,0.0,0.0
April,1,camp 1,Low,160 x 600,mno,2234,0.4044,10,1.8347,3,101.7494,0.4476275738585497
April,1,camp 1,Medium,160 x 600,def,2963,1.8899,4,0.7338,4,100.5044,0.13499831252109348
April,1,camp 1,Medium,160 x 600,ghi,580,0.9917,9,1.6512,0,0.0,1.5517241379310345
April,1,camp 1,Medium,160 x 600,mno,20152,11.1678,185,33.9397,13,653.1896,0.9180230250099246
April,1,camp 1,High,240 x 400,def,56499,50.5157,309,56.6775,105,4288.6699,0.5469123347315882
April,1,camp 1,High,240 x 400,ghi,392142,351.9167,10237,1877.8227,2513,119601.4208,2.610533939236297
April,1,camp 1,High,240 x 400,jkl,62395,30.2386,678,124.3631,173,10402.0618,1.0866255308918984
April,1,camp 1,High,240 x 400,mno,214074,432.5858,2120,388.8174,805,39654.6687,0.9903117613535507
April,1,camp 1,Low,240 x 400,def,671,0.0997,2,0.3669,0,0.0,0.29806259314456035
April,1,camp 1,Low,240 x 400,ghi,1188,0.904,7,1.2843,2,145.5734,0.5892255892255892
April,1,camp 1,Low,240 x 400,jkl,380,0.1743,1,0.1834,1,211.5323,0.2631578947368421
April,1,camp 1,Low,240 x 400,mno,1789,0.4418,3,0.5504,0,0.0,0.16769144773616546
April,1,camp 1,Medium,240 x 400,def,6595,2.3886,30,5.5042,3,14.6254,0.45489006823351025
April,1,camp 1,Medium,240 x 400,ghi,25765,22.1996,696,127.6715,82,5851.2447,2.7013390258102077
April,1,camp 1,Medium,240 x 400,jkl,4595,2.2328,45,8.2563,5,392.7653,0.9793253536452665
April,1,camp 1,Medium,240 x 400,mno,18518,16.6353,158,28.9859,28,1735.5801,0.8532238902689275
April,1,camp 1,High,300 x 250,abc,11,0.0225,0,0.0,0,0.0,0.0
April,1,camp 1,High,300 x 250,def,52381,54.8999,286,52.4647,99,4844.9065,0.5459995036368148
April,1,camp 1,High,300 x 250,ghi,62042,42.1673,1164,213.5207,364,20272.775,1.8761484155894392
April,1,camp 1,High,300 x 250,jkl,10001,5.495,82,15.0419,27,1304.4818,0.81991800819918
April,1,camp 1,High,300 x 250,mno,277579,336.111,2042,374.5268,754,45839.9536,0.735646428584295
April,1,camp 1,Low,300 x 250,def,448,0.1226,2,0.3669,0,0.0,0.4464285714285714
April,1,camp 1,Low,300 x 250,ghi,112,0.0661,1,0.1834,0,0.0,0.8928571428571428
April,1,camp 1,Low,300 x 250,jkl,28,0.017,0,0.0,0,0.0,0.0
April,1,camp 1,Low,300 x 250,mno,3841,0.7599,15,2.7521,7,1864.6591,0.3905233012236397
April,1,camp 1,Medium,300 x 250,def,5932,3.8013,30,5.4954,6,573.1474,0.5057316250842886
April,1,camp 1,Medium,300 x 250,ghi,2983,1.8454,82,15.039,1,29.2134,2.748910492792491
April,1,camp 1,Medium,300 x 250,jkl,678,0.3841,4,0.7338,1,14.1537,0.5899705014749262
April,1,camp 1,Medium,300 x 250,mno,30998,17.3368,184,33.7474,12,1323.659,0.5935866830118072
April,1,camp 1,High,468 x 60,def,1182,0.7543,2,0.3669,1,30.8236,0.1692047377326565
April,1,camp 1,High,468 x 60,ghi,467,0.1835,0,0.0,0,0.0,0.0
April,1,camp 1,High,468 x 60,jkl,7,0.0045,1,0.1834,0,0.0,14.285714285714285
April,1,camp 1,High,468 x 60,mno,4177,2.5521,7,1.2843,0,0.0,0.16758439071103662
April,1,camp 1,Low,468 x 60,def,7,0.0015,1,0.1834,0,0.0,14.285714285714285
April,1,camp 1,Low,468 x 60,mno,36,0.002,0,0.0,0,0.0,0.0
April,1,camp 1,Medium,468 x 60,def,68,0.0102,0,0.0,0,0.0,0.0
April,1,camp 1,Medium,468 x 60,ghi,14,0.0055,0,0.0,0,0.0,0.0
April,1,camp 1,Medium,468 x 60,mno,502,0.1096,0,0.0,0,0.0,0.0
April,1,camp 1,High,580 x 400,mno,52004,132.7561,1043,191.2989,401,15561.6075,2.0056149526959466
April,1,camp 1,Low,580 x 400,mno,492,0.1722,6,1.1008,1,45.9209,1.2195121951219512
April,1,camp 1,Medium,580 x 400,mno,4795,6.0088,60,11.0055,8,767.8439,1.251303441084463
April,1,camp 1,High,670 x 90,def,5270,8.8886,56,10.2745,39,776.4618,1.0626185958254268
April,1,camp 1,High,670 x 90,ghi,20898,16.8185,165,30.2614,63,2214.2764,0.7895492391616422
April,1,camp 1,High,670 x 90,jkl,434,0.308,3,0.5504,0,0.0,0.6912442396313364
April,1,camp 1,High,670 x 90,mno,20161,31.6511,176,32.2884,92,3989.2796,0.8729725708050196
April,1,camp 1,Low,670 x 90,def,45,0.0111,1,0.1834,0,0.0,2.2222222222222223
April,1,camp 1,Low,670 x 90,ghi,21,0.0135,0,0.0,0,0.0,0.0
April,1,camp 1,Low,670 x 90,jkl,3,0.0015,0,0.0,0,0.0,0.0
April,1,camp 1,Low,670 x 90,mno,175,0.0204,1,0.1834,0,0.0,0.5714285714285714
April,1,camp 1,Medium,670 x 90,def,441,0.3654,7,1.2843,0,0.0,1.5873015873015872
April,1,camp 1,Medium,670 x 90,ghi,1233,0.9526,9,1.6512,2,183.3429,0.7299270072992701
April,1,camp 1,Medium,670 x 90,jkl,84,0.058,0,0.0,0,0.0,0.0
